candidate_id,test_time,answers_count,Avg_RT,correct,correct_percent,efficiency,con_RT,stddev_con_RT,cov_con,inc_RT,stddev_inc_RT,cov_inc,con_correct,inc_correct,con_index,inc_index,conflict_index,con_time_minus_incontime,con_count,inc_count,Con_RT_Correct
30043,2019-06-03T17:38:19.327Z,20,508.9,12,60,848.1666667,392.5,204.2646704,0.520419542,625.3,107.3820283,0.171728815,5,7,785,893.2857143,108.2857143,-232.8,10,10,555
30043,2019-06-03T17:37:16.975Z,20,564.45,8,40,1411.125,498.6,260.5426815,0.522548499,630.3,619.8489153,0.983418872,3,5,1662,1260.6,-401.4,-131.7,10,10,679.6666667
30044,2019-08-12T23:51:23.699Z,20,550,20,100,550,495.3,31.33351064,0.063261681,604.7,95.17708641,0.157395546,10,10,495.3,604.7,109.4,-109.4,10,10,495.3
30045,2019-07-23T22:42:11.099Z,20,487.7,19,95,513.3684211,467.8,42.1130753,0.090023675,507.6,52.58685936,0.103599014,10,9,467.8,564,96.2,-39.8,10,10,467.8
30045,2019-07-23T22:28:14.032Z,20,487.7,19,95,513.3684211,467.8,42.1130753,0.090023675,507.6,52.58685936,0.103599014,10,9,467.8,564,96.2,-39.8,10,10,467.8
30045,2019-06-03T17:05:22.333Z,20,482,15,75,642.6666667,473.7,91.29810756,0.192734025,490.3,74.06911187,0.151068962,9,6,526.3333333,817.1666667,290.8333333,-16.6,10,10,476
30046,2019-07-18T21:23:07.637Z,20,586.05,19,95,616.8947368,476.1,134.5523029,0.282613533,696,203.0801703,0.291781854,9,10,529,696,167,-219.9,10,10,517
30046,2019-06-03T17:03:50.879Z,20,474.35,17,85,558.0588235,466.3,38.29142637,0.082117577,482.4,61.25030612,0.126969955,9,8,518.1111111,603,84.88888889,-16.1,10,10,466.6666667
30047,2019-07-23T22:20:13.231Z,20,563.85,20,100,563.85,541.5,68.66221668,0.126800031,586.2,55.6772445,0.094979946,10,10,541.5,586.2,44.7,-44.7,10,10,541.5
30047,2019-06-03T17:15:19.321Z,20,508.15,11,55,923.9090909,493.1,46.17466838,0.093641591,523.2,52.49084576,0.10032654,7,4,704.4285714,1308,603.5714286,-30.1,10,10,508.1428571
30048,2019-07-23T22:16:21.950Z,20,597.5,18,90,663.8888889,453.5,188.7716139,0.416254937,741.5,543.5133137,0.732991657,9,9,503.8888889,823.8888889,320,-288,10,10,496.3333333
30049,2019-06-03T17:12:09.475Z,20,425.5,15,75,567.3333333,447.9,161.8177644,0.36128101,403.1,212.3034778,0.526676948,8,7,559.875,575.8571429,15.98214286,44.8,10,10,476.875
30050,2019-07-26T15:51:23.236Z,20,489.15,16,80,611.4375,425.7,34.97951782,0.08216941,552.6,198.8607553,0.359863835,10,6,425.7,921,495.3,-126.9,10,10,425.7
30050,2019-06-03T17:14:00.609Z,20,483.45,12,60,805.75,452.6,33.57975581,0.074193009,514.3,105.4419798,0.205020377,10,2,452.6,2571.5,2118.9,-61.7,10,10,452.6
30051,2019-07-18T22:39:07.297Z,20,523,14,70,747.1428571,531.5,92.23068904,0.173529048,514.5,92.25718882,0.179314264,10,4,531.5,1286.25,754.75,17,10,10,531.5
30051,2019-06-03T17:34:12.508Z,20,495.85,19,95,521.9473684,450.1,16.62294265,0.036931666,541.6,55.22921932,0.101974186,10,9,450.1,601.7777778,151.6777778,-91.5,10,10,450.1
30052,2019-06-03T17:49:46.596Z,20,555.75,20,100,555.75,494.5,146.8387248,0.296943832,617,46.00966082,0.074569953,10,10,494.5,617,122.5,-122.5,10,10,494.5
30053,2019-08-14T23:47:25.513Z,20,512.35,17,85,602.7647059,453.9,138.8007765,0.305795939,570.8,92.49360338,0.162042052,10,7,453.9,815.4285714,361.5285714,-116.9,10,10,453.9
30054,2019-07-18T21:12:47.432Z,20,533.95,20,100,533.95,515,37.36903055,0.072561224,552.9,51.5610749,0.093255697,10,10,515,552.9,37.9,-37.9,10,10,515
30055,2019-07-18T21:10:02.222Z,20,447.55,17,85,526.5294118,430.1,103.443436,0.240510198,465,143.6531316,0.308931466,10,7,430.1,664.2857143,234.1857143,-34.9,10,10,430.1
30056,2019-08-12T23:55:25.138Z,20,453.35,14,70,647.6428571,448.5,64.33462866,0.143443988,458.2,34.61149456,0.075537963,7,7,640.7142857,654.5714286,13.85714286,-9.7,10,10,437.1428571
30057,2019-07-18T21:29:39.961Z,20,549.45,19,95,578.3684211,525.8,69.50587505,0.132190709,573.1,54.76099585,0.095552252,10,9,525.8,636.7777778,110.9777778,-47.3,10,10,525.8
30058,2019-07-18T21:03:40.020Z,20,479.1,17,85,563.6470588,434.4,40.9585156,0.094287559,523.8,92.67242188,0.176923295,10,7,434.4,748.2857143,313.8857143,-89.4,10,10,434.4
30059,2019-08-12T22:48:25.301Z,20,483.85,18,90,537.6111111,439.9,43.29344318,0.098416556,527.8,90.15394242,0.170810804,10,8,439.9,659.75,219.85,-87.9,10,10,439.9
